,word,detail,code
723,reviver,revive,11
724,rhymer,rhyme,11
725,riddler,riddle,11
726,righter,right,11
727,ringsider,ringside,11
728,rioter,riot,11
729,riveter,rivet,11
730,roamer,roam,11
731,roarer,roar,11
732,roisterer,roister,11
733,rouser,rouse,11
734,rubricator,rubricate,11
735,sailboarder,sailboard,11
736,salvager,salvage,11
737,sanctifier,sanctify,11
738,sanitizer,sanitize,11
739,saunterer,saunter,11
740,sayer,say,11
741,scaffolder,scaffold,11
742,scaler,scale,11
743,scarer,scare,11
744,scatterer,scatter,11
745,schmoozer,schmooze,11
746,schoolgoer,schoolgoing,11
747,scoffer,scoff,11
748,scooper,scoop,11
749,scourer,scour,11
750,scouter,scout,11
751,scrapper,scrap,11
752,scratcher,scratch,11
753,screecher,screech,11
754,screener,screen,11
755,scrummager,scrummage,11
756,scrutinizer,scrutinize,11
757,scryer,scry,11
758,seafarer,seafaring,11
759,searcher,search,11
760,seceder,secede,11
761,seconder,second,11
762,seiner,seine,11
763,sensitizer,sensitize,11
764,sequestrator,sequestrate,11
765,serenader,serenade,11
766,sexer,sex,11
767,shader,shade,11
768,shadower,shadow,11
769,shaper,shape,11
770,sharer,share,11
771,sharpener,sharpen,11
772,shatterer,shatter,11
773,shearer,shear,11
774,shelver,shelve,11
775,shirker,shirk,11
776,shoeshiner,shoeshine,11
777,shoplifter,shoplift,11
778,shotmaker,shotmaking,11
779,shouter,shout,11
780,shrinker,shrink,11
781,shuffler,shuffle,11
782,sifter,sift,11
783,sighter,sight,11
784,signaller,signal,11
785,signer,sign,11
786,sipper,sip,11
787,sizzler,sizzle,11
788,sketcher,sketch,11
789,skirmisher,skirmish,11
790,skiver,skive,11
791,skulker,skulk,11
792,skywriter,skywriting,11
793,slanderer,slander,11
794,slaughterer,slaughter,11
795,sledger,sledge,11
796,sleepwalker,sleepwalk,11
797,slicer,slice,11
798,slinger,sling,11
799,slitter,slit,11
800,slogger,slog,11
801,slumberer,slumber,11
802,smallholder,smallholding,11
803,smeller,smell,11
804,smiler,smile,11
805,smoocher,smooch,11
806,snarler,snarl,11
807,snatcher,snatch,11
808,sneerer,sneer,11
809,sneezer,sneeze,11
810,snogger,snog,11
811,snooper,snoop,11
812,snorer,snore,11
813,snorkeller,snorkel,11
814,snowboarder,snowboard,11
815,soaker,soak,11
816,soarer,soar,11
817,sojourner,sojourn,11
